,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
116,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739258.json,tensor([22]),tensor([0]),22,21,0,0.47438926,0.098103434,19,23
117,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739269.json,tensor([34]),tensor([0]),34,41,0,0.6155315,0.10869678,28,43
118,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739887.json,tensor([27]),tensor([0]),27,28,0,0.5379197,0.0773013,22,30
119,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002739999.json,tensor([55]),tensor([0]),55,55,0,0.9143928,0.22028516,30,57
120,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002740283.json,tensor([39]),tensor([0]),39,28,0,0.94332683,0.15351066,14,30
121,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002740553.json,tensor([35]),tensor([0]),35,44,0,0.6614632,0.121767916,27,46
122,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002740643.json,tensor([63]),tensor([0]),63,68,0,0.768909,0.12844999,41,70
123,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002740722.json,tensor([79]),tensor([0]),79,95,0,1.826249,0.17091554,72,97
124,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002740980.json,tensor([66]),tensor([0]),66,81,0,1.4671905,0.21096794,53,83
125,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002741217.json,tensor([60]),tensor([0]),60,52,0,0.8086897,0.11530544,39,54
126,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002741352.json,tensor([29]),tensor([0]),29,47,0,1.0997818,0.1374076,30,49
127,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002741699.json,tensor([55]),tensor([0]),55,70,0,1.3372341,0.112281226,48,72
128,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002741992.json,tensor([20]),tensor([0]),20,21,0,0.33108994,0.05401851,12,23
129,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002742218.json,tensor([68]),tensor([0]),68,72,0,0.7340103,0.12847634,49,74
130,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002742454.json,tensor([71]),tensor([0]),71,68,0,1.2766956,0.1584601,45,70
131,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002743028.json,tensor([59]),tensor([0]),59,43,0,0.9666705,0.14861077,27,45
132,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002743174.json,tensor([27]),tensor([0]),27,29,0,0.3649134,0.14621684,15,31
133,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002743242.json,tensor([25]),tensor([0]),25,32,0,0.44623828,0.07724589,13,34
134,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002743769.json,tensor([67]),tensor([0]),67,81,0,1.0560195,0.14658575,53,83
